,lambda_nm,spectral_intensity_mean_au,spec_int_stddev_au
703,486.775,444.5,5.162363799656123
704,487.189,445.2,6.997142273814361
705,487.604,446.9,7.244998274671982
706,488.019,441.8,4.512205669071391
707,488.433,444.3,6.9
708,488.848,446.9,5.185556864985669
709,489.263,444.9,5.629387178015027
710,489.678,443.9,6.533758489567853
711,490.092,446.9,6.472248450113763
712,490.507,445.1,5.22398315464359
713,490.922,443.7,4.648655719667784
714,491.337,443.8,6.257795138864807
715,491.752,443.2,4.955804677345546
716,492.167,443.2,6.764613810115105
717,492.582,441.4,3.8262252939417984
718,492.998,442.9,6.315853069855251
719,493.413,443.6,7.901898506055363
720,493.828,442.3,7.707788269017255
721,494.243,441.6,9.318798205777394
722,494.659,442.6,7.863841300534999
723,495.074,444.1,7.595393340703296
724,495.489,442.3,5.64003546088143
725,495.905,442.2,8.219489035213806
726,496.32,443.3,4.382921400162225
727,496.736,443.4,6.681317235396026
728,497.152,442.1,8.802840450672726
729,497.567,440.6,6.858571279792898
730,497.983,444.1,4.459820624195551
731,498.399,440.8,2.9933259094191524
732,498.814,441.8,5.827520913733387
733,499.23,441.6,5.141984052872975
734,499.646,438.4,6.829348431585549
735,500.062,443.5,4.984977432245807
736,500.478,448.6,6.858571279792898
737,500.894,441.1,5.467174773134658
738,501.31,446.2,6.321392251711645
739,501.726,441.8,9.620810776644554
740,502.142,441.4,4.608687448721164
741,502.559,446.3,7.211795892841117
742,502.975,442.9,4.948737212663448
743,503.391,441.5,5.162363799656123
744,503.807,441.7,5.514526271584895
745,504.224,441.5,7.965550828411052
746,504.64,444.0,7.3484692283495345
747,505.057,438.9,4.784349485562274
748,505.473,439.7,6.388270501473777
749,505.89,441.3,6.435060217278468
750,506.306,444.7,3.2264531609803355
751,506.723,443.8,7.2910904534232746
752,507.14,444.1,5.068530358989674
753,507.556,445.0,4.09878030638384
754,507.973,445.1,7.529276193632425
755,508.39,439.9,4.5265881191025095
756,508.807,443.9,5.804308744372579
757,509.224,446.4,6.21610810716802
758,509.641,444.0,7.861297602813418
759,510.057,443.8,5.0556898639058145
760,510.475,441.9,6.007495318350235
761,510.892,446.0,7.54983443527075
762,511.309,442.1,3.8327535793473597
763,511.726,444.2,7.152621896899067
764,512.143,440.5,5.044799302251775
